gene	rxnID	formula	annotation_uniprot	main_met_mnx	other_met	annotation_SGD	ec_SGD	protein_name_SGD	ec_uniprot	protein_name_uniprot	Annotation_score	reaction_uniprot	annotation_kegg	ec_kegg	annotation_biocyc	annotation_reactome	TC_number	annotation_TCDB	subunit
YIL048W	r_3819	phosphatidyl-L-serine (1-18:0, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-18:0, 2-18:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM680500	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YMR162C	r_3819	phosphatidyl-L-serine (1-18:0, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-18:0, 2-18:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Probable). Forms a heteromeric phospholipid translocase (PLT) DNF3-CRF1, implicated in the translocation of phospholipids from the outer to the inner leaflet of membrane bilayers. Shares an essential function for cell growth with PLTs DRS2-CDC50 and DNF1/2-LEM3. May be involved in transport from early endosomes to the trans-Golgi network (TGN) (Probable). {ECO:0000305, ECO:0000305|PubMed:17093059}.	MNXM680500	none	"Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DNF3 (EC 3.6.3.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DNF3; aminophospholipid-translocating P4-type ATPase DNF3"	3.6.3.1	Drs2 Neo1 Family	NA	3.A.3.8.20	Probable phospholipid-transporting ATPase DNF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNF3 PE=1 SV=1	FALSE
YIL048W	r_3820	phosphatidyl-L-serine (1-18:1, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-18:1, 2-18:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Leads to neomycin-resistance when overexpressed. Required for traffic between late Golgi and early endosomes. {ECO:0000269|PubMed:15314152, ECO:0000305}.	MNXM32173	none	"Phospholipid translocase (flippase), role in phospholipid asymmetry of plasma membrane; involved in endocytosis, vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"	3.6.3.1	Phospholipid translocase (flippase), role in phospholipid asymmetry o	3.6.3.1	Probable phospholipid-transporting ATPase NEO1 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"NEO1; putative aminophospholipid-translocating P4-type ATPase NEO1"	3.6.3.1	NEOmycin-resistance	NA	3.A.3.8.18	Probable phospholipid-transporting ATPase NEO1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NEO1 PE=1 SV=1	FALSE
YMR162C	r_3820	phosphatidyl-L-serine (1-18:1, 2-18:1)[erm] <=> phosphatidyl-L-serine (1-18:1, 2-18:1)[gm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Probable). Forms a heteromeric phospholipid translocase (PLT) DNF3-CRF1, implicated in the translocation of phospholipids from the outer to the inner leaflet of membrane bilayers. Shares an essential function for cell growth with PLTs DRS2-CDC50 and DNF1/2-LEM3. May be involved in transport from early endosomes to the trans-Golgi network (TGN) (Probable). {ECO:0000305, ECO:0000305|PubMed:17093059}.	MNXM32173	none	"Trans-golgi network aminophospholipid translocase (flippase); type 4 P-type ATPase; involved in phospholipid translocation, contributing to the maintenance of membrane lipid asymmetry in post-Golgi secretory vesicles; role in protein trafficking between the Golgi and endosomal system; localizes to the trans-Golgi network; localizes to the shmoo tip where it has a redundant role in the cellular response to mating pheromone"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DNF3 (EC 3.6.3.1) (Aminophospholipid translocase) (APT) (Phospholipid translocase) (PLT)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DNF3; aminophospholipid-translocating P4-type ATPase DNF3"	3.6.3.1	Drs2 Neo1 Family	NA	3.A.3.8.20	Probable phospholipid-transporting ATPase DNF3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=DNF3 PE=1 SV=1	FALSE
YAL026C	r_3821	phosphatidylethanolamine (1-16:0, 2-16:1)[gm] <=> phosphatidylethanolamine (1-16:0, 2-16:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM588855	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3822	phosphatidylethanolamine (1-16:1, 2-16:1)[gm] <=> phosphatidylethanolamine (1-16:1, 2-16:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	NA	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3823	phosphatidylethanolamine (1-18:0, 2-16:1)[gm] <=> phosphatidylethanolamine (1-18:0, 2-16:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM588866	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3824	phosphatidylethanolamine (1-18:1, 2-16:1)[gm] <=> phosphatidylethanolamine (1-18:1, 2-16:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM71684	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3825	phosphatidylethanolamine (1-16:0, 2-18:1)[gm] <=> phosphatidylethanolamine (1-16:0, 2-18:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM588857	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3826	phosphatidylethanolamine (1-16:1, 2-18:1)[gm] <=> phosphatidylethanolamine (1-16:1, 2-18:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM611809	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3827	phosphatidylethanolamine (1-18:0, 2-18:1)[gm] <=> phosphatidylethanolamine (1-18:0, 2-18:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM588872	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3828	phosphatidylethanolamine (1-18:1, 2-18:1)[gm] <=> phosphatidylethanolamine (1-18:1, 2-18:1)[erm]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM588883	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
YAL026C	r_3885	phosphatidylethanolamine (1-16:0, 2-16:1)[erm] <=> phosphatidylethanolamine (1-16:0, 2-16:1)[ce]	 This magnesium-dependent enzyme catalyzes the hydrolysis of ATP coupled with the transport of phospholipids (Potential). Seems to be involved in ribosome assembly. {ECO:0000305}.	MNXM588855	none	"Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation, endocytosis, protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"	3.6.3.1	Trans-golgi network aminophospholipid translocase (flippase)	3.6.3.1	Probable phospholipid-transporting ATPase DRS2 (EC 3.6.3.1)	5 out of 5	 ATP + H(2)O + phospholipid(Side 1) = ADP + phosphate + phospholipid(Side 2).	"DRS2, FUN38, SWA3; aminophospholipid-translocating P4-type ATPase DRS2"	3.6.3.1	Deficiency of Ribosomal Subunits	"Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of azurophil granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of tertiary granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;Exocytosis of specific granule membrane proteins;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport external-facing APLs to internal side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane;P-type ATPases type IV transport internal-facing APLs to external side of the plasma membrane"	3.A.3.8.2	POTENTIAL PHOSPHOLIPID-TRANSPORTING ATPASE 1 (EC 3.6.3.13) - Saccharomyces cerevisiae (Baker's yeast).	FALSE
